Question,Tag
Which one of the following statements is FALSE Packet switching leads to better utilization of bandwidth resources than circuit switching Packet switching results in less variation in delay than circuit switching Packet switching requires more per packet processing than circuit switching Packet switching can lead to reordering unlike in circuit switching ,Network Switching
Which one of the following regular expressions over 0 1 denotes the set of all strings not containing ext 100 as substring a 0 1 0 b 0 1010 c 0 1 01 d 0 10 1 ,Regular Expressions
Which one of the following regular expressions is NOT equivalent to the regular expression a b c a b c a b c ab c a b c ,Regular Expressions
Which one of the following problems is undecidable Deciding if a given context free grammar is ambiguous Deciding if a given string is generated by a given context free grammar Deciding if the language generated by a given context free grammar is empty Deciding if the language generated by a given context free grammar is finite ,Decidability
Which one of the following is TRUE for any simple connected undirected graph  with more than 2 vertices   No two vertices have the same degree   At least two vertices have the same degree   At least three vertices have the same degree   All vertices have the same degree ,Degree Of Graph
Which one of the following is NOT shared by the threads of the same process Stack Address Space File Descriptor Table Message Queue ,Threads
Which one of the following is FALSE There is a unique minimal DFA for every regular language Every NFA can be converted to an equivalent PDA Complement of every context free language is recursive Every nondeterministic PDA can be converted to an equivalent deterministic PDA ,Non Determinism
Which one of the following is false The set of all bijective functions on a finite set forms a group under function composition The set 1 2 dots p 1 forms a group under multiplication mod p where p is a prime number The set of all strings over a finite alphabet forms a group under concatenation A subset S eq emptyset of G is a subgroup of the group langle G rangle if and only if for any pair of elements a b in S a b 1  in  S ,Sets
Which one of the following is  FALSE User level threads are not scheduled by the kernel When a user level thread is blocked all other threads of its process are blocked Context switching between user level threads is faster than context switching between kernel level threads Kernel level threads cannot share the code segment ,Threads
Which one of the following does NOT equal begin vmatrix 1 amp x amp x 2 1 amp y amp y 2 1 amp z amp z 2 end vmatrix A begin vmatrix 1 amp x x 1 amp x 1 1 amp y y 1 amp y 1 1 amp z z 1 amp z 1 end vmatrix B begin vmatrix 1 amp x 1 amp x 2 1 1 amp y 1 amp y 2 1 1 amp z 1 amp z 2 1 end vmatrix C begin vmatrix 0 amp x y amp x 2 y 2 0 amp y z amp y 2 z 2 1 amp z amp z 2 end vmatrix D begin vmatrix 2 amp x y amp x 2 y 2 2 amp y z amp y 2 z 2 1 amp z amp z 2 end vmatrix ,Determinant
Which one of the following circuits is  NOT  equivalent to a 2 input XNOR exclusive NOR gate  ,Logic Gates
Which one of the first order predicate calculus statements given below correctly expresses the following English statement  Tigers and lions attack if they are hungry or threatened u2200x tiger x u2227 lion x u2192 hungry x u2228 threatened x u2192 attacks x u2200x tiger x u2228 lion x u2192 hungry x u2228 threatened x u2227 attacks x u2200x tiger x u2228 lion x u2192 attacks x u2192 hungry x u2228 threatened x u2200x tiger x u2228 lion x u2192 hungry x u2228 threatened x u2192 attacks x ,First Order Logic
Which of the rational calculus expression is not safe left t mid exists u in R_1 left t A u A right land eg exists s in R_2 left t A s A right right left t mid forall u in R_1 left u A x Rightarrow exists s in R_2 left t A s A land s A u A right right right left t mid eg t in R_1 right left t mid exists u in R_1 left t A u A right land exists s in R_2 left t A s A right right  ,Relational Calculus
Which of the following tuple relational calculus expression s is are equivalent to forall t in r left P left t right right eg exists t in r left P left t right right exists t otin r left P left t right right eg exists t in r left eg P left t right right exists t otin r left eg P left t right right I only II only III only III and IV only ,Relational Calculus
Which of the following transport layer protocols is used to support electronic mail A SMTP B IP C TCP D UDP,Tcp
Which of the following three statements are true Prove your answer The union of two recursive languages is recursive The language O n mid n ext is a prime is not regular Regular languages are closed under infinite union ,Closure Property
Which of the following system calls results in the sending of SYN packets socket bind listen connect ,Sockets
Which of the following statements is true If a language is context free it can always be accepted by a deterministic push down automaton The union of two context free languages is context free The intersection of two contest free languages is a context free The complement of a context free language is a context free ,Context Free Language
Which of the following statements is true for every planar graph on n vertices The graph is connected The graph is Eulerian The graph has a vertex cover of size at most frac 3n 4 The graph has an independent set of size at least frac n 3 ,Graph Planarity
Which of the following statements is TRUE Every turning machine recognizable language is recursive The complement of every recursively enumerable language is recursively enumerable The complement of a recursive language is recursively enumerable The complement of a context free language is context free The set of turning machines which do not halt on empty input forms a recursively enumerable set ,Recursive And Recursively Enumerable Languages
Which of the following statements is true As the number of entries in a hash table increases the number of collisions increases Recursive programs are efficient The worst case complexity for Quicksort is O n 2 Binary search using a linear linked list is efficient I and II II and III I and IV I and III ,Linked Lists
Which of the following statements is false The Halting Problem of Turing machines is undecidable Determining whether a context free grammar is ambiguous is undecidable Given two arbitrary context free grammars G_1 and G_2 it is undecidable whether L G_1 L G_2 Given two regular grammars G_1 and G_2 it is undecidable whether L G_1 L G_2  ,Decidability
Which of the following statements is FALSE In statically typed languages each variable in a program has a fixed type In un typed languages values do not have any types In dynamically typed languages variables have no types In all statically typed languages each variable in a program is associated with values of only a single type during the execution of the program ,Type Checking
Which of the following statements is false Every NFA can be converted to an equivalent DFA Every non deterministic Turing machine can be converted to an equivalent deterministic Turing machine Every regular language is also a context free language Every subset of a recursively enumerable set is recursive ,Recursive And Recursively Enumerable Languages
Which of the following statements is false a Every finite subset of a non regular set is regular b Every subset of a regular set is regular c Every finite subset of a regular set is regular d The intersection of two regular sets is regular,Regular Languages
Which of the following statements is false  A tree with a n nodes has n u2013 1 edges  A labeled rooted binary tree can be uniquely constructed given its postorder and preorder traversal results  A complete binary tree with n internal nodes has n 1 leaves  The maximum number of nodes in a binary tree of height h is 2 h 1 1 ,Trees
Which of the following statements is are TRUE for undirected graphs P Number of odd degree vertices is even Q Sum of degrees of all vertices is even  P only  Q only  Both P and Q  Neither P nor Q ,Degree Of Graph
Which of the following statements is are FALSE For every non deterministic Turing machine there exists an equivalent deterministic Turing machine Turing recognizable languages are closed under union and complementation Turing decidable languages are closed under intersection and complementation Turing recognizable languages are closed under union and intersection   1 and 4 only   1 and 3 only   2 only   3 only ,Closure Property
Which of the following statements are TRUE S1  TCP handles both congestion and flow control S2  UDP handles congestion but not flow control S3  Fast retransmit deals with congestion but not flow control S4  Slow start mechanism deals with both congestion and flow control S1 S2 and S3 only S1 and S3 only S3 and S4 only S1 S3 and S4 only ,Network Protocols
Which of the following statements about regular languages is NOT true Every language has a regular superset Every language has a regular subset Every subset of a regular language is regular Every subset of a finite language is regular ,Regular Languages
Which of the following statement s is TRUE A hash function takes a message of arbitrary length and generates a fixed length code A hash function takes a message of fixed length and generates a code of variable length A hash function may give the same hash value for distinct messages I only II and III  only I and III  only II  only ,Hashing
Which of the following statement is FALSE All recursive sets are recursively enumerable The complement of every recursively enumerable sets is recursively enumerable Every Non empty recursively enumerable set is the range of some totally recursive function All finite sets are recursive The complement of every recursive set is recursive ,Recursive And Recursively Enumerable Languages
Which of the following socket API functions converts an unconnected active TCP socket into a passive socket connect bind listen accept ,Sockets
Which of the following sets of component s is are sufficient to implement any arbitrary Boolean function XOR gates NOT gates 2 to 1 multiplexers AND gates XOR gates Three input gates that output A B C for the inputs A B and C  ,Functional Completeness
Which of the following set can be recognized by a Deterministic Finite state Automaton The numbers 1 2 4 8 dots 2 n dots written in binary The numbers 1 2 4 8 dots 2 n dots  written in unary The set of binary string in which the number of zeros is the same as the number of ones The set 1 101 11011 1110111 dots  ,Finite Automata
Which of the following sequences of array elements forms a heap 23 17 14 6 13 10 1 12 7 5 23 17 14 6 13 10 1 5 7 12 23 17 14 7 13 10 1 5 6 12 23 17 14 7 13 10 1 12 5 7 ,Heap
Which of the following scheduling algorithms is non preemptive Round Robin First In First Out Multilevel Queue Scheduling Multilevel Queue Scheduling with Feedback ,Process Schedule
Which of the following relational query languages have the same expressive power Relational algebra Tuple relational calculus restricted to safe expressions Domain relational calculus restricted to safe expressions  II and III only I and II only I and III only I II and III ,Relational Calculus
Which of the following regular expression identities are true A r r B r S r s C r s r s D r s r s ,Regular Expressions
Which of the following query transformations i e replacing the l h s expression by the r h s expression is incorrect R1  and R2  are relations C1  and C2  are selection conditions and A1  and A2  are attributes of R1 A sigma_ C_1 left sigma_ C_2 left R_1 right right o  sigma_ C_2 left sigma_ C_1 left R_1 right right B sigma_ C_1 left pi_ A_1 left R_1 right right o  pi_ A_1 left sigma_ C_1 left R_1 right right C sigma_ C_1 left R_1 cup R_2 right o  sigma_ C_1 left R_1 right cup sigma_ C_1 left R_2 right D pi_ A_1 left sigma_ C_1 left R_1 right right o  sigma_ C_1 left pi_ A_1 left R_1 right right ,Relational Calculus
Which of the following propositions is a tautology p vee q rightarrow p p vee q rightarrow p p vee p rightarrow q p rightarrow p rightarrow q ,Propositional Logic
Which of the following problems is undecidable Membership problem for CFGs Ambiguity problem for CFGs Finiteness problem for FSAs Equivalence problem for FSAs  ,Decidability
Which of the following problems are decidable Does a given program ever produce an output If L is a context free language then is bar L also context free If L is a regular language then bar L is also regular If L is a recursive language then is bar L also recursive  1 2 3 4 1 2 2 3 4 3 4 ,Decidability
Which of the following predicate calculus statements is are valid 1 forall x P x vee forall x Q x implies forall x P x vee Q x 2 exists x P x wedge exists x Q x implies exists x P x wedge Q x 3 forall x P x vee Q x implies forall x P x vee forall x Q x 4 exists x P x vee Q x implies sim forall x P x vee exists x Q x ,First Order Logic
Which of the following permutations can be obtained in the output in the same order using a stack assuming that the input is the sequence ext 1 2 3 4 5 in that order ext 3 4 5 1 2 ext 3 4 5 2 1 ext 1 5 2 3 4 ext 5 4 3 1 2 ,Stack
Which of the following pairs have  DIFFERENT  expressive power Deterministic finite automata DFA and Non deterministic finite automata NFA Deterministic push down automata DPDA and Non deterministic push down automata NPDA Deterministic single tape Turing machine and Non deterministic single tape Turing machine Single tape Turing machine and multi tape Turing machine ,Non Determinism
Which of the following page replacement algorithms suffers from Belady u2019s anamoly Optimal replacement LRU FIFO Both A and C ,Page Replacement
Which of the following operations is commutative but not associative AND OR NAND EXOR  ,Boolean Operations
Which of the following need not necessarily be saved on a context switch between processes General purpose registers Translation look aside buffer Program counter All of the above  ,Context Switch
Which of the following languages over left a b c right is accepted by a deterministic pushdown automata left wcw R mid w in left a b right right left ww R mid w in a b c right left a nb nc n mid n geq 0 right left w mid w ext is a palindrome over left a b c right right Note w R is the string obtained by reversing w ,Pushdown Automata
Which of the following languages is regular left ww R mid  w in 0 1 right left ww Rx mid  x w  in 0 1 right left wxw R mid  x w in 0 1 right left xww R mid  x w in 0 1 right ,Regular Languages
Which of the following languages is accepted by a non deterministic pushdown automaton PDA but NOT by a deterministic PDA a nb nc n  mid n u2265 0 a lb mc n  mid l u2260 m ext or m u2260 n a nb n  mid n u2265 0 a mb n mid  m n u2265 0 ,Pushdown Automata
Which of the following is true The set of all rational negative numbers forms a group under multiplication The set of all non singular matrices forms a group under multiplication The set of all matrices forms a group under multiplication Both B and C are true ,Groups
Which of the following is TRUE The cost of searching an AVL tree is Theta  log n but that of a binary search tree is O n The cost of searching an AVL tree is Theta log n but that of a complete binary tree is  Theta n log n The cost of searching a binary search tree is O log n but that of an AVL tree is Theta n The cost of searching an AVL tree is Theta  n log n  but that of a binary search tree is O n ,Binary Search Tree
Which of the following is true The complement of a recursive language is recursive The complement of a recursively enumerable language is recursively enumerable The complement of a recursive language is either recursive or recursively enumerable The complement of a context free language is context free ,Closure Property
Which of the following is true for the language left a p mid p ext is a prime right It is not accepted by a Turing Machine It is regular but not context free It is context free but not regular It is neither regular nor context free but accepted by a Turing machine ,Identify Class Language
Which of the following is TRUE Every subset of a regular set is regular Every finite subset of a non regular set is regular The union of two non regular sets is not regular Infinite union of finite sets is regular ,Regular Languages
Which of the following is TRUE about the interior gateway routing protocols Routing Information Protocol RIP and Open Shortest Path First OSPF RIP uses distance vector routing and OSPF uses link state routing OSPF uses distance vector routing and RIP uses link state routing Both RIP and OSPF use link state routing Both RIP and OSPF use distance vector routing ,Routing
Which of the following is TRUE about formulae in Conjunctive Normal Form For any formula there is a truth assignment for which at least half the clauses evaluate to true For any formula there is a truth assignment for which all the clauses evaluate to true There is a formula such that for each truth assignment at most one fourth of the clauses evaluate to true None of the above ,Conjunctive Normal Form
Which of the following is the negation of u2200 x u03b1 u2192 u2203y u03b2 u2192 u2200  u u2203v y u2203 x u03b1 u2192 u2200y u03b2 u2192 u2203u u2200 v y u2203 x u03b1 u2192 u2200y u03b2 u2192 u2203u u2200 v u00acy u2200 x u00ac u03b1 u2192 u2203y u00ac u03b2 u2192 u2200u u2203 v u00acy u2203 x u03b1 u028c  u2200y u03b2 u028c  u2203u u2200 v u00acy ,First Order Logic
Which of the following is NOT true with respect to a transparent bridge and a router Both bridge and router selectively forward data packets A bridge uses IP addresses while a router uses MAC addresses A bridge builds up its routing table by inspecting incoming packets A router can connect between a LAN and a WAN ,Routers Bridge Hubs Switches
Which of the following is not a valid deadlock prevention scheme Release all resources before requesting a new resource Number the resources uniquely and never request a lower numbered resource than the last one requested Never request a resource after releasing any resource Request and all required resources be allocated before execution  ,Resource Allocation
Which of the following is NOT a sufficient and necessary condition for an undirected graph G to be a tree G is connected and has n 1 edges G is acyclic and connected G is acyclic and has n 1 edges G is acyclic connected and has n 1 edges G has n 1 edges ,Trees
Which of the following is false Read wedge as AND vee as OR sim as NOT  rightarrow as one way implication and leftrightarrow as two way implication x rightarrow y wedge x rightarrow y sim x rightarrow y wedge sim x rightarrow sim y rightarrow x x rightarrow x vee y x vee y leftrightarrow sim x rightarrow sim y  ,Propositional Logic
Which of the following is are undecidable G is a CFG Is L G phi G is a CFG Is L G Sigma M is a Turing machine Is L M regular A is a DFA and N is an NFA Is L A L N  3 only    3 and 4 only    1 2 and 3 only    2 and 3 only ,Decidability
Which of the following is are shared by all the threads in a process Program counter Stack Address space Registers I and II only III only IV only III and IV only ,Threads
Which of the following is are correct An SQL query automatically eliminates duplicates An SQL query will not work if there are no indexes on the relations SQL permits attribute names to be repeated in the same relation None of the above ,Sql
Which of the following is a valid first order formula Here alpha and beta are first order formulae with x as their only free variable u2200x u03b1 u21d2 u2200x u03b2 u21d2 u2200x u03b1 u21d2 u03b2 u2200x u03b1 u21d2 u2203x u03b1 u2227 u03b2 u2200x u03b1 u2228 u03b2 u21d2 u2203x u03b1 u21d2 u2200x u03b1 u2200x u03b1 u21d2 u03b2 u21d2 u2200x u03b1 u21d2 u2200x u03b2 ,First Order Logic
Which of the following is a key factor for preferring B trees to binary search trees for indexing database relations Database relations have a large number of records Database relations are sorted on the primary key B trees require less memory than binary search trees Data transfer form disks is in blocks ,B Tree
Which of the following input sequences for a cross coupled R S flip flop realized with two NAND gates may lead to an oscillation 11 00 01 10 10 01 00 11 ,Rs Flip Flop
Which of the following graphs has an Eulerian circuit Any k regular graph where k is an even number A complete graph on 90 vertices The complement of a cycle on 25 vertices None of the above ,Euler Graph
Which of the following functions implements the Karnaugh map shown below CD 00 01 11 10 AB 00 0 0 1 0 01 X X 1 X 11 0 1 1 0 10 0 1 1 0  bar A B CD D C A AD bar A B C D bar C D A B  ,K Map
Which of the following functionality  must  be implemented by a transport protocol over and above the network protocol Recovery from packet losses Detection of duplicate packets Packet delivery in the correct order End to end connectivity ,Network Layering
Which of the following first order formulae is logically valid Here alpha x is a first order formula with x as a free variable and beta is a first order formula with no free variable beta rightarrow exists x alpha x rightarrow forall x beta rightarrow alpha x exists x beta rightarrow alpha x rightarrow beta rightarrow forall x alpha x exists x alpha x rightarrow beta rightarrow forall x alpha x rightarrow beta forall x alpha x rightarrow beta rightarrow forall x alpha x rightarrow beta ,First Order Logic
Which of the following expressions is not equivalent to bar x x ext NAND x x ext NOR x x ext NAND 1 x ext NOR 1  ,Boolean Operations
Which of the following expressions is equivalent to A oplus  B oplus  C A B C bar A bar B bar C A B C bar A bar B C ABC bar A B oplus  C bar B A oplus  C None of these ,Boolean Expressions
Which of the following does not interrupt a running process A device Timer Scheduler process Power failure ,Process
Which of the following disk scheduling strategies is likely to give the best throughput Farthest cylinder next Nearest cylinder next First come first served Elevator algorithm ,Disk Scheduling
Which of the following definitions below generate the same language as L where L x ny n ext such that n geq 1 E rightarrow xEy mid xy x y mid x xyy x y  I only I and II II and III II only  ,Context Free Language
Which of the following decision problems are undecidable Given NFAs N_1 and N_2 is L N_1 cap L N_2 Phi Given a CFG G N Sigma P S and a string  x in Sigma does  x in L G Given CFGs  G_1 and G_2 is L G_1 L G_2 Given a TM M is L M Phi  I and IV only II and III only  III and IV only II and IV only ,Decidability
Which of the following conversions is not possible algorithmically Regular grammar to context free grammar Non deterministic FSA to deterministic FSA Non deterministic PDA to deterministic PDA Non deterministic Turing machine to deterministic Turing machine  ,Non Determinism
Which of the following concurrency control protocols ensure both conflict serializability and freedom from deadlock 2 phase locking Time stamp ordering I only II only Both I and II Neither I nor II ,Transactions
Which of the following are used to generate a message digest by the network security protocols RSA SHA 1 DES MD5 I and III only II and III only II and IV only III and IV  only ,Network Security
Which of the following are decidable Whether the intersection of two regular languages is infinite Whether a given context free language is regular Whether two push down automata accept the same language Whether a given grammar is context free I and II I and IV II and III II and IV ,Decidability
